Name,Description,Price,Image URL,Product URL
"Bergsdal 3-sits soffa
Luisa green","Bergsdal 3-sits soffa från 1898 är en tidlös klassiker i skandinavisk möbeldesign. Soffan är tillverkad av återvunnet material, olefin, med en stomme av plywood och bas av betsad ask. Sitsen är fylld med kallskum, fjäder, bollfiber och polyuretanskum, likaså ryggstödet.",25 192 kr,https://www.nordicnest.se/assets/blobs/1898-bergsdal-3-sits-soffa-luisa-green/594811-01_1_ProductImageMain-c789f6b447.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bergsdal-3sits-soffa/?variantId=594811-01
"Sjövik 2,5-sits soffa
Bern 0341 Beige","Sjövik soffa 2,5-sits från svenska 1898 är uppbyggd på trästomme och har en sits med nozagfjädring. Sittplymåer har en kallskumskärna med ovansida av riven polyeter och silikonfiber. De lösa ryggkuddarna är stoppade med fjäder och syntetfiberblandning och har ett avtagbart och tvättbart kuddfodral. Soffans ben är tillverkade i vitoljad ek vilket ger ett nätt och stilrent uttryck.",13 432 kr,https://www.nordicnest.se/assets/blobs/1898-sjovik-25-sits-soffa-bern-0341-beige/513276-01_1_ProductImageMain-8104adc025.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/sjovik-25-sits-soffa/?variantId=513276-01
"Sjövik 2,5-sits soffa
Bern 0348 grey-vitoljad ek","Sjövik soffa 2,5-sits från svenska 1898 är uppbyggd på trästomme och har en sits med nozagfjädring. Sittplymåer har en kallskumskärna med ovansida av riven polyeter och silikonfiber. De lösa ryggkuddarna är stoppade med fjäder och syntetfiberblandning och har ett avtagbart och tvättbart kuddfodral. Soffans ben är tillverkade i vitoljad ek vilket ger ett nätt och stilrent uttryck.",15 111 kr,"https://www.nordicnest.se/assets/blobs/1898-sjovik-25-sits-soffa-bern-0348-grey-vitoljad-ek/Sj%C3%B6vik-2,5-sits-bern-grey-fc5e9275bd.jpeg?preset=medium&dpr=2",https://www.nordicnest.se/varumarken/1898/sjovik-25-sits-soffa/?variantId=536505-01
"Outline soffa 2-sits
Refine leather black-Black","Outline 2-sits soffa från Muuto. Visuellt lätt och elegant soffserie med generöst sittdjup och hög sittkomfort. Designad av Anderssen & Voll för Muuto. Finns i 2-sits eller 3-sits, i tyg eller läder. Vilket blir snyggast hemma hos dig?",53 995 kr,https://www.nordicnest.se/assets/blobs/muuto-outline-soffa-2-sits-refine-leather-black-black/outline-black-2-seats-037f4989cb.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/outline-soffa-2-sits/?variantId=564654-01
"Bergsdal 3-sits soffa
Oslo nature","Bergsdal 3-sits soffa från 1898 är en tidlös klassiker i skandinavisk möbeldesign. Soffan är tillverkad av återvunnet material, olefin, med en stomme av plywood och bas av betsad ask. Sitsen är fylld med kallskum, fjäder, bollfiber och polyuretanskum, likaså ryggstödet.",25 192 kr,https://www.nordicnest.se/assets/blobs/1898-bergsdal-3-sits-soffa-oslo-nature/594804-01_1_ProductImageMain-af76eeedbf.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bergsdal-3sits-soffa/?variantId=594804-01
"Sjövik 3,5-sits soffa
Bern 0341 Beige-vitoljad ek","Sjövik 3,5-sits soffa från svenska 1898 är en soffa uppbyggd på trästomme och sits med nozagfjädring, vilket ger maximal komfort. Sittplymåer har en kallskumskärna med ovansida av riven polyeter och silikonfiber. Soffans tre lösa ryggkuddarna är stoppade med fjäder och syntetfiberblandning och har ett avtagbart och tvättbart kuddfodral. Soffans ben är tillverkade i vitoljad ek vilket ger ett nätt och stilrent uttryck.",22 190 kr,https://www.nordicnest.se/assets/blobs/1898-sjovik-35-sits-soffa-bern-0341-beige-vitoljad-ek/513279-01_1_ProductImageMain-4e7562ddc2.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/sjovik-35-sits-soffa-xl/?variantId=513279-01
"Lidnäs 3 sits soffa
Caleido beige","Lidnäs 3 sits soffa från svenska 1898 är en soffa med en stomme i furu och en sits med nozagspiraler vilket skapar maximal komfort. Klädseln, som är tillverkad av bomull och lin, är avtagbar vilket underlättar vid spill och fläckar. Kombinera gärna med fåtöljen och fotpallen från samma serie för en sammanhängande känsla i vardagsrummet.",17 990 kr,https://www.nordicnest.se/assets/blobs/1898-lidnas-3-sits-soffa-caleido-beige/567484-01_1_ProductImageMain-7b3fedcde0.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/lidnas-3-sits-soffa/?variantId=567484-01
"Covent 2-sitssoffa
Lana",Covent 2-sitssoffa från danska New Works är en djup soffa i modern design med mjukt rundade former. Soffan går i tidlös skandinavisk stil med starka band till en lång historia av hantverksskicklighet och materialkunnighet kombinerat med samtidens moderna formspråk. Covent är en soffa utöver det vanliga som sätter stark designprägel på ditt hem.,27 996 kr,https://www.nordicnest.se/assets/blobs/new-works-covent-2-sitssoffa-lana/570659-01_1_ProductImageMain-343ef3cd07.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/new-works/covent-2-sits-soffa/?variantId=570659-01
"Lidnäs 3 sits soffa
Caleido mörkgrå","Lidnäs 3 sits soffa från svenska 1898 är en soffa med en stomme i furu och en sits med nozagspiraler vilket skapar maximal komfort. Klädseln, som är tillverkad av bomull och lin, är avtagbar vilket underlättar vid spill och fläckar. Kombinera gärna med fåtöljen och fotpallen från samma serie för en sammanhängande känsla i vardagsrummet.",17 990 kr,https://www.nordicnest.se/assets/blobs/1898-lidnas-3-sits-soffa-caleido-morkgra/567485-01_1_ProductImageMain-c19c16c5ae.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/lidnas-3-sits-soffa/?variantId=567485-01
"Sjövik 3-sits soffa
Bern 0341 Beige","Sjövik 3 sits soffa från svenska 1898 är en soffa uppbyggd på trästomme och sits med nozagfjädring, vilket ger maximal komfort. Soffans tre lösa ryggkuddar gör den dessutom ännu skönare!",20 980 kr,https://www.nordicnest.se/assets/blobs/1898-sjovik-3-sits-soffa-bern-0341-beige/513277-01_1_ProductImageMain-e7c81b2357.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/sjovik-3-sits-soffa/?variantId=513277-01
