Name,Description,Price,Image URL,Product URL
"Matstol Heathrow
Svart",No description exists for this product!,899 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-heathrow-svart/1904065(9)-2fbed60651.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-heathrow-svart-p1404065
"Matstol Dezuid
Valnöt",No description exists for this product!,1 699 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-dezuid-valn%C3%B6t/2220070(1)-d8d3329e75.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-dezuid-valn%C3%B6t-p1729329-v1720070
"Matstol Dezuid
Valnöt",No description exists for this product!,1 399 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-dezuid-valn%C3%B6t/2220072(1)-04a164f560.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-dezuid-valn%C3%B6t-p1729328-v1720072
"Berit Karmstol Sammet med Armstöd
Vit/Svart","Beraid Karmstol är en elegant och stilren matstol som ger en touch av lyx till ditt kök eller matrum. Den är tillverkad av högkvalitativa material som stål, sammet, polyester, plywood och skum för att ge både komfort och hållbarhet.",999 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-berit-karmstol-sammet-med-armst%C3%B6d-vitsvart/1798523(8)-7a4764a5bc.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/berit-karmstol-sammet-med-armst%C3%B6d-vitsvart-p1683271-v1298523
"Matstol Neandir Massiv Valnöt
Brun",Neandir Matstol är en fröjd för ögat. De välvda formerna i massiv trä och trä-fanér ger stolen ett trendigt uttryck som passar det moderna hemmet.,2 599 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-neandir-massiv-valn%C3%B6t-brun/2098424(1)-b11b947e5d.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-neandir-massiv-valn%C3%B6t-brun-p1651264-v1598424
"Matstol Sawako
Beige",No description exists for this product!,1 099 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstol-sawako-beige/SYN0004190(1)-24cac0cd2d.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-sawako-beige-p3055290
"Manor House
Fåtölj Hermione Konstläder
Svart",Hermione är en kvalitetsstol med härlig vintagekänsla! Matstolen bjuder på en ypperlig komfort och oförneklig elegans till matplatsen. Här vill du gärna sitta mycket och länge!,1 099 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-f%C3%A5t%C3%B6lj-hermione-konstl%C3%A4der-svart/520114(1)-0c9351d0ca.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/f%C3%A5t%C3%B6lj-hermione-konstl%C3%A4der-svart-p1651269-v92251
"Matstol Tarnia
Brun",No description exists for this product!,899 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-tarnia-brun/1151352(9)-c240b77d87.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-tarnia-brun-p1651417-v651352
"Matstol Viberud
Svart/Svart",No description exists for this product!,699 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-viberud-svartsvart/1280076(9)-93982e3ef8.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-viberud-svartsvart-p1651249-v780076
"Bobby Karmstol med Armstöd
Whitewash",No description exists for this product!,899 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-bobby-karmstol-med-armst%C3%B6d-whitewash/SYN0003825(1)-1c5de9eaac.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/bobby-karmstol-med-armst%C3%B6d-whitewash-p3054925
"Matstol Skagana Massiv Valnöt
Brun",No description exists for this product!,1 599 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-skagana-massiv-valn%C3%B6t-brun/2098411(1)-42f8bc5147.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-skagana-massiv-valn%C3%B6t-brun-p1598411
"Matstol Lossmen
Grå",Lossmen är en lyxig stol med flera väl genomtänkta detaljer. Den djuphäftade klädseln i tyg finns i flera olika färger och ger stolen sitt klassiska utseende tillsammans med de dekorspikade sidorna. Stolen är generöst stoppad i både rygg- och sittdel vilket ger en mycket god sittkomfort. Investera i en såväl stilsäker som skön matstol för långa middagar med nära och kära.,1 099 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-lossmen-gr%C3%A5/1284302(2)-37fdf81106.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-lossmen-gr%C3%A5-p1651108-v784302
"Köksstol Gerardo Sammet
Beige",No description exists for this product!,599 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-k%C3%B6ksstol-gerardo-sammet-beige/1123422(10)-70147d0d30.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/k%C3%B6ksstol-gerardo-sammet-beige-p1651450-v623422
"Matstol Emmie
Beige|Trä",Emmie är en välgjord stol med genomtänkta detaljer såsom knappklädd rygg och antikbetsade ben. En vacker vintagestol med en riktigt skön sittkomfort som liknas vid en fåtölj. En klassiker som du kommer uppskatta lika mycket till varje måltid!,1 199 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-emmie-beigetr%C3%A4/520108(7)-697e03441e.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-emmie-beigetr%C3%A4-p655206-v92245
Stol Gloucester 43xd42xh94 cm Svart Trä: Ek,"Stol GLOUCESTER 43xD42xH94cm, säte: imiterat läder, färg: svart, trä: ek, efterbehandling: oljad",1 299 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-stol-gloucester-43xd42xh94-cm-svart-tr%C3%A4-ek/1235232(3)-530d4a5756.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/stol-gloucester-43xd42xh94-cm-svart-tr%C3%A4-ek-p735232
"Matstol Hembrug - Rotting
Svart",No description exists for this product!,1 099 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-matstol-hembrug-rotting-svart/1898287(1)-d3ada64446.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/matstol-hembrug-rotting-svart-p1541992-v1398287
"Scandi Days
Karmstol Nilla
Brun",No description exists for this product!,1 095 kr,https://www.chilli.se/assets/blobs/m%C3%B6bler-stolar-matstolar-k%C3%B6ksstolar-karmstol-nilla-brun/565254(5)-70cddfeb6c.jpeg?preset=medium&dpr=2,https://www.chilli.se/m%C3%B6bler/stolar/matstolar-k%C3%B6ksstolar/karmstol-nilla-brun-p141428
