Name,Description,Price,Image URL,Product URL
"Androgyne loungebord
Sand/kunis breccia-valnötsstativ","Androgyne Loungebord från Audo Copenhagen är ett vackert och uppseendeväckande bord vars ursprungsdesign kommer från den norska designern Danielle Siggerud. Androgyne är ett mångsidigt bord som passar lika bra som soffbord, loungebord eller som bänk till vackra stilleben.",12 664 kr,https://www.nordicnest.se/assets/blobs/audo-copenhagen-androgyne-loungebord-sandkunis-breccia-valnotsstativ/555398-01_1_ProductImageMain-b09f7d904a.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/audo-copenhagen/androgyne-loungebord/?variantId=555398-01
"Androgyne loungebord
Sand/kunis breccia-ekstativ","Androgyne Loungebord från Audo Copenhagen är ett vackert och uppseendeväckande bord vars ursprungsdesign kommer från den norska designern Danielle Siggerud. Androgyne är ett mångsidigt bord som passar lika bra som soffbord, loungebord eller som bänk till vackra stilleben.",10 143 kr,https://www.nordicnest.se/assets/blobs/audo-copenhagen-androgyne-loungebord-sandkunis-breccia-ekstativ/555383-01_1_ProductImageMain-6105c6ac66.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/audo-copenhagen/androgyne-loungebord/?variantId=555383-01
"Androgyne Rectangular matbord
oak dark stained, 210x109 cm","Androgyne Rectangular matbord från Audo Copenhagen är en del av Androgyne-kollektionen, designad av Danielle Siggerud. Bordet kombinerar naturliga material med skulpturala former och rymmer 8-10 personer. Finns i två storlekar, detta matbord är idealiskt för både intima och större sammankomster. Ge dina middagar en unik prägel med denna harmoniska blandning av funktion och estetik.",32 838 kr,https://www.nordicnest.se/assets/blobs/audo-copenhagen-androgyne-rectangular-matbord-oak-dark-stained-210x109-cm/androgyne-rectangular-210-darkstainedoak-d271072b4c.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/audo-copenhagen/androgyne-rectangular-matbord/?variantId=542655-01
"Lato bord LN8
Ivory white-Crema diva marble",Det skulpturala sidobordet Lato LN8 är ett exklusivt litet bord designat av formgivaren Luca Nichetto for danska &Tradition. Bordet är tillverkat i pulverlackerat järn med en fot i marmor och har en form som inspirerats av en godisklubba som vänts upp och ner och försetts med en bordsskiva. Bordet är på så vis både en skulptur och ett bord i ett som verkligen blir ett blickfång i ditt hem! Välj mellan olika färger.,4 532 kr,https://www.nordicnest.se/assets/blobs/tradition-lato-bord-ln8-ivory-white-crema-diva-marble/31213-02_1_IM-6c2ac13dbf.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/tradition/lato-bord-ln8/?variantId=31213-02
"Distinct soffbord
Travertin",Distinct soffbord från danska Ferm Living är ett lågt bord tillverkad av travertin med bordsskivor i två olika nivåer och en design inspirerad av japansk minimalism. Soffbordet har ett spännande formspråk där bordets raka linjer står i kontrast till kalkstenens fina skiftningar. Distinct soffbord är ett vackert och spännande bord som enkelt kan kombineras med olika inredningsstilar.,13 069 kr,https://www.nordicnest.se/assets/blobs/ferm-living-distinct-soffbord-travertin/503172-01_1_ProductImageMain-d2ced8e8e8.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ferm-living/distinct-soffbord/?variantId=503172-01
"S-table matbord
oak matt lacqured, extendable",S-table matbord från danska GUBI är ett elegant och modernt middagsbord som passar perfekt för måltider med familj och i goda vänners lag. Den rektangulära formen ger en stilren och minimalistisk känsla som passar in i alla heminredningar. Bordet är tillverkat av högkvalitativt material och har en robust konstruktion som garanterar lång hållbarhet. Med S-table matbordet kan du bjuda in dina nära och kära till en härlig middag i stil och komfort.,33 599 kr,https://www.nordicnest.se/assets/blobs/gubi-s-table-matbord-oak-matt-lacqured-extendable/s-table-extendable-oak-front-4eb873df8d.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/gubi/stable-matbord/?variantId=561502-01
"Lyckeby soffbord Ø80x29 cm
Naturlackad ek",Lyckeby soffbord Ø80x29 cm från det svenska varumärket 1898 tillhör en serie soffbord i tre nivåer och storlekar som kombineras lika väl som de står en och en. Formspråket vädjar till en mjuk och följsam livsstil med stort fokus på uttalat nätta linjer i samspel med ett modernt bulligt uttryck.,3 753 kr,https://www.nordicnest.se/assets/blobs/1898-lyckeby-soffbord-80x29-cm-naturlackad-ek/594119-01_1_ProductImageMain-5218ba333e.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/lyckeby-soffbord-o80x29-cm/?variantId=594119-01
"Nyhem soffbord 89x59x37 cm
Naturlackad ek","Nyhem soffbord 89x59x37 cm från det svenska varumärket 1898 har en formgivning som anspelar på retro detaljer i samtida tappning. Bordet har en skålad bordsyta med en konvex, rektangulär form och bordsben med en mycket liten vinkel. Tillsammans skapar det den karaktäristiska retro känslan.",3 597 kr,https://www.nordicnest.se/assets/blobs/1898-nyhem-soffbord-89x59x37-cm-naturlackad-ek/594116-01_1_ProductImageMain-b0c3067388.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/nyhem-soffbord-89x59x37-cm/?variantId=594116-01
"Pedrera soffbord
svarta ben",Det pompösa glasbordet Pedrera från danska Gubi är formgivet av Barba Corsini & Ruiz Millet. Bordet är en del av serien som tillkom när Barba Corsini renoverade den välkända byggnaden La Pedrera i Barcelona. Då gjordes ett tvättutrymme om till 13 stycken moderna lägenheter där Corsini inredde med möbler som han själv hade designat. Pedrera soffbord var ett av de objekten - ett vackert asymmetriskt glasbord med underrede i stål.,8 105 kr,https://www.nordicnest.se/assets/blobs/gubi-pedrera-soffbord-svarta-ben/p_28463-02-01-2570f77015.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/gubi/pedrera-soffbord/?variantId=28463-02
"Mineral soffbord
glas, bas i marmor",,12 304 kr,https://www.nordicnest.se/assets/blobs/ferm-living-mineral-soffbord-glas-bas-i-marmor/Mineral-soffbord-glas-och-sten-cc779604de.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ferm-living/mineral-soffbord/?variantId=553770-01
